Thread Name,Thread Entry Function Name,Stack Size (KB)
0 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
281 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
284 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
287 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
352 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
371 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
384 fastrpc,fastrpc_dsp_dispatch_thread_invoke,4
AA0D,AudPP_WorkLoop,8
AB0C,AudPP_WorkLoop,8
AB11,AudioEncSvc_WorkLoop,8
ACS,AdspCoreSvc_WorkLoop,4
ADec,AudioDecSvc_WorkLoop,4
ADM,AdmWorkLoop,8
adsppm_asyncmgr,AM_WorkLoopThread,4
adsppm_cb,AM_callBackThread,4
adsppmThermalQm,adsppm_therm_qmi_service_thread,8
AEnc,AudioEncSvc_WorkLoop,4
Af0,afe_pseudo_port_work_loop,4
Af1,afe_pseudo_port_work_loop,4
Af2,afe_pseudo_port_work_loop,4
Af3,afe_pseudo_port_work_loop,4
Af4,afe_pseudo_port_work_loop,4
Afe0,afe_svc_thread_pool_work_loop,4
Afe1,afe_svc_thread_pool_work_loop,4
Afe2,afe_svc_thread_pool_work_loop,4
AfeANC,afe_svc_aanc_work_loop,4
AfeDataMgr,afe_rtppdm_work_loop,4
AfeS,afe_svc_work_loop,4
AfeSh,afe_svc_hlp_work_loop,4
AfeV,afe_svc_vfr_work_loop,4
Alp0,afe_svc_thread_pool_work_loop,4
ASM,AudioStreamMgr_WorkLoop,8
AVT,avtimer_server_workloop,4
CC0F,AudPP_WorkLoop,8
CD0F,AudPP_WorkLoop,8
CD14,AudPP_WorkLoop,8
CodecIntHldr,afe_svc_cdc_handler_workloop,4
CodecIntHldr,afe_svc_cdc_handler_workloop,4
CVP_TASK,cvp_task,8
CVS_IST,cvs_ist,8
DAL_WL_0,_WorkLoopExecute,4
DAL_WL_1,_WorkLoopExecute,4
DAL_WL_2,_WorkLoopExecute,8
DAL_WL_3,_WorkLoopExecute,8
DAL_WL_4,_WorkLoopExecute,8
DAL_WL_5,_WorkLoopExecute,8
DAL_WL_6,_WorkLoopExecute,8
dbgr_tx_loop,dbgr_platform_wait_for_monitor_events,4
DIAG_LSM,diag_qdi_invoke,4
diag_task,diag_handle_sigs,4
err_ex,reaper_entry,4
H264E_DB1,VideoEncSvc_WorkLoop,16
H264E_DB2,VideoEncSvc_WorkLoop,16
H264E_DB3,VideoEncSvc_WorkLoop,16
H264E_MAIN1,VideoEncMainWorkerWorkLoop,4
H264E_MAIN2,VideoEncMainWorkerWorkLoop,4
H264E_MAIN3,VideoEncMainWorkerWorkLoop,4
H264E_MOT1,VideoEncMotEstWorkLoop,4
H264E_MOT2,VideoEncMotEstWorkLoop,4
H264E_MOT3,VideoEncMotEstWorkLoop,4
IPCRDR_RDR,signal_group_invoke,1.9
IPCSMDL_W,ipc_router_xal_smdl_worker_thread,3
IST11,ISTMain,2
IST12,ISTMain,2
IST14,ISTMain,2
IST18,ISTMain,2
IST21,ISTMain,2
IST23,ISTMain,2
IST3,ISTMain,2
IST30,ISTMain,2
IST33,ISTMain,2
IST38,ISTMain,2
IST4,ISTMain,2
IST46,ISTMain,2
IST5,ISTMain,2
IST52,ISTMain,2
IST6,ISTMain,2
IST66,ISTMain,2
IST7,ISTMain,2
IST8,ISTMain,2
IST85,ISTMain,2
IST88,ISTMain,2
IST9,ISTMain,2
IST90,ISTMain,2
kernel_root,main,8
LSM,lsm_workloop,4
MVM_TASK,mvm_task,8
MXAR,MtMxWorkLoop,4
MXAT,MtMxWorkLoop,4
NPA_ASYNC_EVENT,Core_WorkLoopProcess,8
NPA_ASYNC_REQUE,_WorkLoopExecute,8
npaScheduler,npaScheduler_task,8
QMI_PING_SVC,qmi_ping_service_thread,2
qtimerIST,qurt_timer_IST,2
QURT_fatalNotif,qurt_fatal_notification_handler,1
qurt_timerCli,qurt_timer_driver_client,4
rcinit,RCINIT_NULL,6
rcinit_worker,_WorkLoopExecute,4
reaper,reaper_entry,4
riva_ipc_isr,qurt_elite_interrupt_workloop,2
RXSR,stream_router_svc_workloop,4
sleep,sleep_task,4
SlimBusQmiSvc,slimbus_qmi_service_thread,4
SMSM_QDI,signal_invoke,1.9
SNS_DEBUG,sns_debug_task,3
SNS_EVMGR,em_thread,1
SNS_PM,sns_pm_main,3
SNS_SAM,sns_sam_task,6
SNS_SCM,sns_scm_task,3
SNS_SMGR,sns_os_sigs_pend,6
sys_m,sys_m_task,4
sys_m_smsm,sys_m_smsm_task,4
thread_SigVerif,SigVerify_Init,8
timer,timer_task,4
TXSR,stream_router_svc_workloop,4
USM,usm_workloop,4
VDC0,vdec_thread,24
VDP0,vdec_pp_thread,24
VDP1,VDecParserWorkLoop,16
VDS1,vds_thread,2
VDW0,VDecWorkersWorkLoop,16
VDW1,VDecWorkersWorkLoop,16
VDW2,VDecWorkersWorkLoop,16
VEC0,venc_thread,24
VfrD,vfr_svc_work_loop,4
VIDDS,VideoDecSvc_WorkLoop,2
VideoEncDynServ,VideoEncSvc_WorkLoop,4
VISM,VideoStreamMgr_WorkLoop,8
VISM,VideoStreamMgr_WorkLoop,8
VMX1,vmx_workloop,4
VMX2,vmx_workloop,4
VPM,voice_proc_mgr_thread,7
VPR0,vprx_thread,16
VPT0,vptx_thread,128
VSM,vsm_thread,4
VTM,vtm_thread,2
WDT_ist,WDT_task,3
