Mode,Rate,SS,1_14,36_64,100_144,149_183
CCK,1Mbps,1,22,0,0,0
CCK,2Mbps,1,22,0,0,0
CCK,5.5Mbps,1,22,0,0,0
CCK,11Mbps,1,22,0,0,0
LEGACY,6Mbps,1,22,22,22,22
LEGACY,9Mbps,1,22,22,22,22
LEGACY,12Mbps,1,22,22,22,22
LEGACY,18Mbps,1,22,22,22,22
LEGACY,24Mbps,1,22,22,22,22
LEGACY,36Mbps,1,22,22,22,22
LEGACY,48Mbps,1,22,22,22,22
LEGACY,54Mbps,1,22,22,22,22
HT20,MCS0,1,22,22,22,22
HT20,MCS1,1,22,22,22,22
HT20,MCS2,1,22,22,22,22
HT20,MCS3,1,22,22,22,22
HT20,MCS4,1,22,22,22,22
HT20,MCS5,1,22,22,22,22
HT20,MCS6,1,22,22,22,22
HT20,MCS7,1,22,22,22,22
HT20,MCS8,1,21,22,22,22
HT20,MCS9,1,21,22,22,22
HT20,MCS10,1,21,19,19,19
HT20,MCS11,1,21,19,19,19
HT20,MCS12,1,20,17,17,17
HT20,MCS13,1,20,17,17,17
HT20,MCS14,1,19,16,16,16
HT20,MCS15,1,19,16,16,16
HT40,MCS0,1,22,22,22,22
HT40,MCS1,1,22,22,22,22
HT40,MCS2,1,22,22,22,22
HT40,MCS3,1,22,22,22,22
HT40,MCS4,1,22,22,22,22
HT40,MCS5,1,22,22,22,22
HT40,MCS6,1,22,22,22,22
HT40,MCS7,1,22,22,22,22
HT40,MCS8,1,21,22,22,22
HT40,MCS9,1,21,22,22,22
HT40,MCS10,1,21,19,19,19
HT40,MCS11,1,21,19,19,19
HT40,MCS12,1,20,17,17,17
HT40,MCS13,1,20,17,17,17
HT40,MCS14,1,19,16,16,16
HT40,MCS15,1,19,16,16,16
VHT20,MCS0,1,22,22,22,22
VHT20,MCS0,2,22,22,22,22
VHT20,MCS1,1,22,22,22,22
VHT20,MCS1,2,22,22,22,22
VHT20,MCS2,1,22,22,22,22
VHT20,MCS2,2,22,22,22,22
VHT20,MCS3,1,22,22,22,22
VHT20,MCS3,2,22,22,22,22
VHT20,MCS4,1,21,22,22,22
VHT20,MCS4,2,21,22,22,22
VHT20,MCS5,1,21,19,19,19
VHT20,MCS5,2,21,19,19,19
VHT20,MCS6,1,20,17,17,17
VHT20,MCS6,2,20,17,17,17
VHT20,MCS7,1,19,16,16,16
VHT20,MCS7,2,19,16,16,16
VHT20,MCS8,1,15,15,15,15
VHT20,MCS8,2,15,15,15,15
VHT20,MCS9,1,15,14,14,14
VHT20,MCS9,2,15,14,14,14
VHT40,MCS0,1,22,21,21,21
VHT40,MCS0,2,22,21,21,21
VHT40,MCS1,1,22,21,21,21
VHT40,MCS1,2,22,21,21,21
VHT40,MCS2,1,22,21,21,21
VHT40,MCS2,2,22,21,21,21
VHT40,MCS3,1,22,21,21,21
VHT40,MCS3,2,22,21,21,21
VHT40,MCS4,1,21,21,21,21
VHT40,MCS4,2,21,21,21,21
VHT40,MCS5,1,21,18,18,18
VHT40,MCS5,2,21,18,18,18
VHT40,MCS6,1,20,16,16,16
VHT40,MCS6,2,20,16,16,16
VHT40,MCS7,1,19,15,15,15
VHT40,MCS7,2,19,15,15,15
VHT40,MCS8,1,15,14,14,14
VHT40,MCS8,2,15,14,14,14
VHT40,MCS9,1,15,13,13,13
VHT40,MCS9,2,15,13,13,13
VHT80,MCS0,1,0,21,21,21
VHT80,MCS0,2,0,21,21,21
VHT80,MCS1,1,0,21,21,21
VHT80,MCS1,2,0,21,21,21
VHT80,MCS2,1,0,21,21,21
VHT80,MCS2,2,0,21,21,21
VHT80,MCS3,1,0,21,21,21
VHT80,MCS3,2,0,21,21,21
VHT80,MCS4,1,0,21,21,21
VHT80,MCS4,2,0,21,21,21
VHT80,MCS5,1,0,18,18,18
VHT80,MCS5,2,0,18,18,18
VHT80,MCS6,1,0,16,16,16
VHT80,MCS6,2,0,16,16,16
VHT80,MCS7,1,0,15,15,15
VHT80,MCS7,2,0,15,15,15
VHT80,MCS8,1,0,14,14,14
VHT80,MCS8,2,0,14,14,14
VHT80,MCS9,1,0,13,13,13
VHT80,MCS9,2,0,13,13,13
VHT160,MCS0,1,0,14,14,14
VHT160,MCS0,2,0,14,14,14
VHT160,MCS1,1,0,14,14,14
VHT160,MCS1,2,0,14,14,14
VHT160,MCS2,1,0,14,14,14
VHT160,MCS2,2,0,14,14,14
VHT160,MCS3,1,0,14,14,14
VHT160,MCS3,2,0,14,14,14
VHT160,MCS4,1,0,14,14,14
VHT160,MCS4,2,0,14,14,14
VHT160,MCS5,1,0,13,13,13
VHT160,MCS5,2,0,13,13,13
VHT160,MCS6,1,0,13,13,13
VHT160,MCS6,2,0,13,13,13
VHT160,MCS7,1,0,12,12,12
VHT160,MCS7,2,0,12,12,12
VHT160,MCS8,1,0,12,12,12
VHT160,MCS8,2,0,12,12,12
VHT160,MCS9,1,0,11,11,11
VHT160,MCS9,2,0,11,11,11
DupExt,DUP_CCK,1,0,11,11,11
DupExt,DUP_OFDM,1,0,11,11,11
DupExt,EXT_CCK,1,0,11,11,11
DupExt,EXT_OFDM,1,0,11,11,11
DupExt,XR,1,0,11,11,11
